id	instrument	family	technique	pitch	dynamic	dynamic_num	spectral_center	spectral_complexity	spectral_spread	duration	absolute_intensity
Hn-brassy-E5-ff	01_Horn	Brass	brassy	76	ff	7	1554.68	0.00088	1386.49	0.0	2.5725
Hn-brassy-F#2-ff	01_Horn	Brass	brassy	42	ff	7	778.22	0.01288	730.78	0.0	1.4594
Hn-brassy-F#3-ff	01_Horn	Brass	brassy	54	ff	7	914.1	0.00652	994.93	0.0	1.3673
Hn-brassy-F#4-ff	01_Horn	Brass	brassy	66	ff	7	967.53	0.00106	1175.13	0.0	2.0326
Hn-brassy-F2-ff	01_Horn	Brass	brassy	41	ff	7	847.02	0.02539	845.15	0.0	1.589
Hn-brassy-F3-ff	01_Horn	Brass	brassy	53	ff	7	970.33	0.01363	1113.81	0.0	1.9542
Hn-brassy-F4-ff	01_Horn	Brass	brassy	65	ff	7	804.86	0.00053	794.71	0.0	1.9385
Hn-brassy-F5-ff	01_Horn	Brass	brassy	77	ff	7	1241.18	0.00042	1068.56	0.0	2.4051
Hn-brassy-G#2-ff	01_Horn	Brass	brassy	44	ff	7	862.06	0.03079	1063.53	0.0	1.6424
Hn-brassy-G#3-ff	01_Horn	Brass	brassy	56	ff	7	897.55	0.00204	980.96	0.0	1.3726
Hn-brassy-G#4-ff	01_Horn	Brass	brassy	68	ff	7	1110.56	0.00107	1233.1	0.0	1.8818
Hn-brassy-G2-ff	01_Horn	Brass	brassy	43	ff	7	845.24	0.02298	977.6	0.0	1.3397
Hn-brassy-G3-ff	01_Horn	Brass	brassy	55	ff	7	927.13	0.00358	1002.9	0.0	1.42
Hn-brassy-G4-ff	01_Horn	Brass	brassy	67	ff	7	1092.57	0.00111	1217.26	0.0	1.9901
Hn-brassy_to_ord-A#2-f	01_Horn	Brass	brassy-to-ordinario	46	f	6	838.27	0.02442	962.91	0.0	1.8157
Hn-brassy_to_ord-A#3-f	01_Horn	Brass	brassy-to-ordinario	58	f	6	739.06	0.00107	787.22	0.0	1.3743
Hn-brassy_to_ord-A#4-f	01_Horn	Brass	brassy-to-ordinario	70	f	6	547.65	5e-05	343.76	0.0	1.2465
Hn-brassy_to_ord-A2-f	01_Horn	Brass	brassy-to-ordinario	45	f	6	867.88	0.03104	1004.09	0.0	2.0055
Hn-brassy_to_ord-A3-f	01_Horn	Brass	brassy-to-ordinario	57	f	6	773.16	0.00166	831.26	0.0	1.4272
Hn-brassy_to_ord-A4-f	01_Horn	Brass	brassy-to-ordinario	69	f	6	540.09	8e-05	366.18	0.0	1.1527
Hn-brassy_to_ord-B2-f	01_Horn	Brass	brassy-to-ordinario	47	f	6	816.02	0.02156	926.07	0.0	1.7322
Hn-brassy_to_ord-B3-f	01_Horn	Brass	brassy-to-ordinario	59	f	6	711.86	0.00072	730.36	0.0	1.3405
Hn-brassy_to_ord-B4-f	01_Horn	Brass	brassy-to-ordinario	71	f	6	562.19	4e-05	323.54	0.0	1.2422
Hn-brassy_to_ord-C#2-f	01_Horn	Brass	brassy-to-ordinario	37	f	6	573.49	0.00132	311.08	0.0	0.5704
Hn-brassy_to_ord-C#3-f	01_Horn	Brass	brassy-to-ordinario	49	f	6	1057.09	0.01973	1355.14	0.0	2.1619
Hn-brassy_to_ord-C#4-f	01_Horn	Brass	brassy-to-ordinario	61	f	6	995.51	0.00589	1305.13	0.0	1.668
Hn-brassy_to_ord-C#5-f	01_Horn	Brass	brassy-to-ordinario	73	f	6	630.95	3e-05	380.22	0.0	0.9861
Hn-brassy_to_ord-C3-f	01_Horn	Brass	brassy-to-ordinario	48	f	6	1066.75	0.01958	1356.6	0.0	2.2515
Hn-brassy_to_ord-C4-f	01_Horn	Brass	brassy-to-ordinario	60	f	6	1004.0	0.00584	1314.21	0.0	1.743
Hn-brassy_to_ord-C5-f	01_Horn	Brass	brassy-to-ordinario	72	f	6	642.28	5e-05	465.26	0.0	0.8709
Hn-brassy_to_ord-D#2-f	01_Horn	Brass	brassy-to-ordinario	39	f	6	572.68	0.00097	289.89	0.0	0.4216
Hn-brassy_to_ord-D#3-f	01_Horn	Brass	brassy-to-ordinario	51	f	6	992.95	0.0123	1299.55	0.0	1.9241
Hn-brassy_to_ord-D#4-f	01_Horn	Brass	brassy-to-ordinario	63	f	6	997.92	0.00367	1309.54	0.0	1.4026
Hn-brassy_to_ord-D2-f	01_Horn	Brass	brassy-to-ordinario	38	f	6	573.55	0.00104	296.85	0.0	0.4317
Hn-brassy_to_ord-D3-f	01_Horn	Brass	brassy-to-ordinario	50	f	6	1028.14	0.01507	1328.62	0.0	2.0164
Hn-brassy_to_ord-D4-f	01_Horn	Brass	brassy-to-ordinario	62	f	6	996.04	0.00428	1304.49	0.0	1.5296
Hn-brassy_to_ord-E2-f	01_Horn	Brass	brassy-to-ordinario	40	f	6	817.87	0.0291	845.93	0.0	1.7495
Hn-brassy_to_ord-E3-f	01_Horn	Brass	brassy-to-ordinario	52	f	6	741.7	0.0043	665.98	0.0	1.5816
Hn-brassy_to_ord-E4-f	01_Horn	Brass	brassy-to-ordinario	64	f	6	682.48	0.00027	684.66	0.0	1.5593
Hn-brassy_to_ord-F#2-f	01_Horn	Brass	brassy-to-ordinario	42	f	6	795.58	0.02391	820.34	0.0	1.5735
Hn-brassy_to_ord-F#3-f	01_Horn	Brass	brassy-to-ordinario	54	f	6	726.86	0.00339	661.07	0.0	1.4044
Hn-brassy_to_ord-F#4-f	01_Horn	Brass	brassy-to-ordinario	66	f	6	652.24	0.00018	673.78	0.0	1.3068
Hn-brassy_to_ord-F2-f	01_Horn	Brass	brassy-to-ordinario	41	f	6	797.05	0.02722	832.93	0.0	1.8158
Hn-brassy_to_ord-F3-f	01_Horn	Brass	brassy-to-ordinario	53	f	6	737.59	0.00455	672.72	0.0	1.5188
Hn-brassy_to_ord-F4-f	01_Horn	Brass	brassy-to-ordinario	65	f	6	668.73	0.00026	684.1	0.0	1.4099
Hn-brassy_to_ord-G#2-f	01_Horn	Brass	brassy-to-ordinario	44	f	6	865.42	0.03001	986.01	0.0	2.0126
Hn-brassy_to_ord-G#3-f	01_Horn	Brass	brassy-to-ordinario	56	f	6	797.57	0.00178	847.98	0.0	1.5325
Hn-brassy_to_ord-G#4-f	01_Horn	Brass	brassy-to-ordinario	68	f	6	565.61	0.00011	433.63	0.0	1.131
Hn-brassy_to_ord-G2-f	01_Horn	Brass	brassy-to-ordinario	43	f	6	861.58	0.03049	967.99	0.0	2.1125
Hn-brassy_to_ord-G3-f	01_Horn	Brass	brassy-to-ordinario	55	f	6	793.03	0.00189	829.0	0.0	1.6579
Hn-brassy_to_ord-G4-f	01_Horn	Brass	brassy-to-ordinario	67	f	6	603.17	0.00016	490.11	0.0	1.1449
Hn-cresc-A#1-ppff	01_Horn	Brass	crescendo	34	mf	0	558.39	0.00172	426.05	0.0	0.3389
Hn-cresc-A#2-ppff	01_Horn	Brass	crescendo	46	mf	0	847.48	0.00858	915.84	0.0	1.172
Hn-cresc-A#3-ppff	01_Horn	Brass	crescendo	58	mf	0	656.89	0.00063	636.7	0.0	0.7681
Hn-cresc-A#4-ppff	01_Horn	Brass	crescendo	70	mf	0	625.01	0.0003	667.17	0.0	1.2048
Hn-cresc-A1-ppff	01_Horn	Brass	crescendo	33	mf	0	577.79	0.00158	441.81	0.0	0.4679
Hn-cresc-A2-ppff	01_Horn	Brass	crescendo	45	mf	0	866.05	0.0116	935.59	0.0	1.2797
Hn-cresc-A3-ppff	01_Horn	Brass	crescendo	57	mf	0	674.74	0.00101	676.54	0.0	0.7812
Hn-cresc-A4-ppff	01_Horn	Brass	crescendo	69	mf	0	617.67	0.00047	695.98	0.0	1.1183
Hn-cresc-B1-ppff	01_Horn	Brass	crescendo	35	mf	0	552.77	0.00156	412.7	0.0	0.3287
Hn-cresc-B2-ppff	01_Horn	Brass	crescendo	47	mf	0	824.96	0.00729	882.5	0.0	1.1123
Hn-cresc-B3-ppff	01_Horn	Brass	crescendo	59	mf	0	651.75	0.00044	601.36	0.0	0.77
Hn-cresc-B4-ppff	01_Horn	Brass	crescendo	71	mf	0	644.16	0.00024	657.47	0.0	1.201
Hn-cresc-C#2-ppff	01_Horn	Brass	crescendo	37	mf	0	516.78	0.00013	233.39	0.0	0.2769
Hn-cresc-C#3-ppff	01_Horn	Brass	crescendo	49	mf	0	799.5	0.00622	865.15	0.0	1.0557
Hn-cresc-C#4-ppff	01_Horn	Brass	crescendo	61	mf	0	816.17	0.00147	1001.47	0.0	0.9797
Hn-cresc-C#5-ppff	01_Horn	Brass	crescendo	73	mf	0	788.94	0.00048	798.26	0.0	1.0578
Hn-cresc-C2-ppff	01_Horn	Brass	crescendo	36	mf	0	517.96	0.00013	227.08	0.0	0.24
Hn-cresc-C3-ppff	01_Horn	Brass	crescendo	48	mf	0	805.94	0.00617	864.09	0.0	1.1091
Hn-cresc-C4-ppff	01_Horn	Brass	crescendo	60	mf	0	826.04	0.00153	1017.91	0.0	1.0433
Hn-cresc-C5-ppff	01_Horn	Brass	crescendo	72	mf	0	887.04	0.0008	979.91	0.0	0.9428
Hn-cresc-D#2-ppff	01_Horn	Brass	crescendo	39	mf	0	509.73	0.00011	214.76	0.0	0.2144
Hn-cresc-D#3-ppff	01_Horn	Brass	crescendo	51	mf	0	775.27	0.0038	835.65	0.0	0.9329
Hn-cresc-D#4-ppff	01_Horn	Brass	crescendo	63	mf	0	804.49	0.00082	976.81	0.0	0.8391
Hn-cresc-D#5-ppff	01_Horn	Brass	crescendo	75	mf	0	1075.79	0.00053	1072.09	0.0	0.9349
Hn-cresc-D2-ppff	01_Horn	Brass	crescendo	38	mf	0	510.57	0.00012	221.77	0.0	0.2219
Hn-cresc-D3-ppff	01_Horn	Brass	crescendo	50	mf	0	789.37	0.00442	854.92	0.0	0.9827
Hn-cresc-D4-ppff	01_Horn	Brass	crescendo	62	mf	0	814.32	0.00103	999.97	0.0	0.9137
Hn-cresc-D5-ppff	01_Horn	Brass	crescendo	74	mf	0	755.74	0.00029	677.77	0.0	0.8818
Hn-cresc-E2-ppff	01_Horn	Brass	crescendo	40	mf	0	691.62	0.00733	550.45	0.0	0.9576
Hn-cresc-E3-ppff	01_Horn	Brass	crescendo	52	mf	0	1096.55	0.01708	1291.21	0.0	1.787
Hn-cresc-E4-ppff	01_Horn	Brass	crescendo	64	mf	0	794.22	0.00064	1012.02	0.0	1.3394
Hn-cresc-E5-ppff	01_Horn	Brass	crescendo	76	mf	0	722.16	3e-05	313.71	0.0	0.5211
Hn-cresc-F#2-ppff	01_Horn	Brass	crescendo	42	mf	0	674.28	0.00631	537.07	0.0	0.8604
Hn-cresc-F#3-ppff	01_Horn	Brass	crescendo	54	mf	0	1075.51	0.01286	1279.05	0.0	1.5827
Hn-cresc-F#4-ppff	01_Horn	Brass	crescendo	66	mf	0	730.92	0.00036	948.98	0.0	1.1602
Hn-cresc-F2-ppff	01_Horn	Brass	crescendo	41	mf	0	677.83	0.00727	546.0	0.0	0.9886
Hn-cresc-F3-ppff	01_Horn	Brass	crescendo	53	mf	0	1097.54	0.01774	1303.86	0.0	1.7061
Hn-cresc-F4-ppff	01_Horn	Brass	crescendo	65	mf	0	760.91	0.00058	986.62	0.0	1.2168
Hn-cresc-F5-ppff	01_Horn	Brass	crescendo	77	mf	0	770.51	4e-05	343.26	0.0	0.6162
Hn-cresc-G#2-ppff	01_Horn	Brass	crescendo	44	mf	0	871.09	0.0116	930.9	0.0	1.3179
Hn-cresc-G#3-ppff	01_Horn	Brass	crescendo	56	mf	0	711.11	0.00123	719.08	0.0	0.8535
Hn-cresc-G#4-ppff	01_Horn	Brass	crescendo	68	mf	0	714.04	0.0008	893.18	0.0	1.146
Hn-cresc-G2-ppff	01_Horn	Brass	crescendo	43	mf	0	866.41	0.01277	914.77	0.0	1.3999
Hn-cresc-G3-ppff	01_Horn	Brass	crescendo	55	mf	0	718.07	0.00142	707.0	0.0	0.933
Hn-cresc-G4-ppff	01_Horn	Brass	crescendo	67	mf	0	837.17	0.00137	1066.91	0.0	1.2137
Hn-cresc_to_decr-A#1-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	34	mf	0	326.97	3e-05	105.4	0.0	1.0669
Hn-cresc_to_decr-A#2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	46	mf	0	388.3	1e-05	122.07	0.0	1.3072
Hn-cresc_to_decr-A#3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	58	mf	0	422.3	0.0	158.23	0.0	1.4179
Hn-cresc_to_decr-A#4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	70	mf	0	475.06	0.0	73.16	0.0	0.9492
Hn-cresc_to_decr-A1-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	33	mf	0	328.65	3e-05	104.98	0.0	1.1574
Hn-cresc_to_decr-A2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	45	mf	0	388.67	1e-05	122.52	0.0	1.3853
Hn-cresc_to_decr-A3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	57	mf	0	432.85	0.0	153.06	0.0	1.5686
Hn-cresc_to_decr-A4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	69	mf	0	457.8	1e-05	104.48	0.0	0.7433
Hn-cresc_to_decr-B1-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	35	mf	0	327.01	2e-05	108.76	0.0	1.2501
Hn-cresc_to_decr-B2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	47	mf	0	390.94	1e-05	117.59	0.0	1.2801
Hn-cresc_to_decr-B3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	59	mf	0	403.51	0.0	154.3	0.0	1.2535
Hn-cresc_to_decr-B4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	71	mf	0	499.62	0.0	58.88	0.0	1.1373
Hn-cresc_to_decr-C#2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	37	mf	0	325.84	2e-05	106.35	0.0	0.9653
Hn-cresc_to_decr-C#3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	49	mf	0	391.64	1e-05	120.54	0.0	1.1346
Hn-cresc_to_decr-C#4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	61	mf	0	395.88	0.0	145.27	0.0	1.1842
Hn-cresc_to_decr-C#5-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	73	mf	0	567.69	1e-05	93.76	0.0	0.6879
Hn-cresc_to_decr-C2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	36	mf	0	327.33	2e-05	106.84	0.0	0.9763
Hn-cresc_to_decr-C3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	48	mf	0	391.29	1e-05	119.74	0.0	1.1852
Hn-cresc_to_decr-C4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	60	mf	0	394.84	0.0	147.74	0.0	1.2018
Hn-cresc_to_decr-C5-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	72	mf	0	532.47	0.0	75.68	0.0	0.9167
Hn-cresc_to_decr-D#2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	39	mf	0	437.66	0.0	138.35	0.0	1.1761
Hn-cresc_to_decr-D#3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	51	mf	0	416.63	1e-05	133.29	0.0	1.3446
Hn-cresc_to_decr-D#4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	63	mf	0	477.48	1e-05	274.04	0.0	1.0852
Hn-cresc_to_decr-D#5-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	75	mf	0	626.24	1e-05	79.82	0.0	1.2282
Hn-cresc_to_decr-D2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	38	mf	0	446.68	0.0	142.77	0.0	1.1079
Hn-cresc_to_decr-D3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	50	mf	0	417.39	1e-05	132.88	0.0	1.4298
Hn-cresc_to_decr-D4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	62	mf	0	486.61	1e-05	285.04	0.0	1.2218
Hn-cresc_to_decr-D5-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	74	mf	0	593.59	1e-05	103.55	0.0	1.0279
Hn-cresc_to_decr-E2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	40	mf	0	438.32	0.0	147.1	0.0	0.9892
Hn-cresc_to_decr-E3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	52	mf	0	411.52	0.0	132.51	0.0	1.2562
Hn-cresc_to_decr-E4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	64	mf	0	473.45	1e-05	267.0	0.0	1.0171
Hn-cresc_to_decr-F#2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	42	mf	0	420.32	1e-05	141.72	0.0	1.2109
Hn-cresc_to_decr-F#3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	54	mf	0	428.34	0.0	147.81	0.0	1.3424
Hn-cresc_to_decr-F#4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	66	mf	0	429.83	0.0	154.38	0.0	0.9389
Hn-cresc_to_decr-F2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	41	mf	0	431.91	0.0	143.65	0.0	0.9829
Hn-cresc_to_decr-F3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	53	mf	0	406.35	0.0	124.98	0.0	1.2106
Hn-cresc_to_decr-F4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	65	mf	0	466.16	0.0	256.1	0.0	0.952
Hn-cresc_to_decr-G#1-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	32	mf	0	330.14	0.00016	150.47	0.0	1.0014
Hn-cresc_to_decr-G#2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	44	mf	0	421.16	1e-05	139.89	0.0	1.0942
Hn-cresc_to_decr-G#3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	56	mf	0	444.24	0.0	135.37	0.0	1.323
Hn-cresc_to_decr-G#4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	68	mf	0	510.2	0.0	182.57	0.0	1.1537
Hn-cresc_to_decr-G1-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	31	mf	0	329.18	0.00012	146.58	0.0	1.3134
Hn-cresc_to_decr-G2-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	43	mf	0	418.9	1e-05	141.11	0.0	1.2118
Hn-cresc_to_decr-G3-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	55	mf	0	428.87	0.0	133.85	0.0	1.3749
Hn-cresc_to_decr-G4-ppmfpp	01_Horn	Brass	crescendo-to-decrescendo	67	mf	0	451.57	0.0	149.96	0.0	1.1297
Hn-decr-A#1-ffpp	01_Horn	Brass	decrescendo	34	mf	0	518.76	0.00065	349.46	0.0	0.3244
Hn-decr-A#2-ffpp	01_Horn	Brass	decrescendo	46	mf	0	849.08	0.02996	990.7	0.0	1.5256
Hn-decr-A#3-ffpp	01_Horn	Brass	decrescendo	58	mf	0	712.83	0.00163	732.95	0.0	0.8951
Hn-decr-A#4-ffpp	01_Horn	Brass	decrescendo	70	mf	0	525.5	4e-05	288.44	0.0	0.7421
Hn-decr-A2-ffpp	01_Horn	Brass	decrescendo	45	mf	0	832.62	0.02836	955.86	0.0	1.525
Hn-decr-A3-ffpp	01_Horn	Brass	decrescendo	57	mf	0	733.73	0.00167	750.66	0.0	0.9327
Hn-decr-A4-ffpp	01_Horn	Brass	decrescendo	69	mf	0	560.31	8e-05	398.55	0.0	0.6652
Hn-decr-B1-ffpp	01_Horn	Brass	decrescendo	35	mf	0	503.25	0.0007	353.5	0.0	0.2372
Hn-decr-B2-ffpp	01_Horn	Brass	decrescendo	47	mf	0	810.39	0.02394	935.72	0.0	1.3814
Hn-decr-B3-ffpp	01_Horn	Brass	decrescendo	59	mf	0	695.33	0.00099	697.91	0.0	0.862
Hn-decr-B4-ffpp	01_Horn	Brass	decrescendo	71	mf	0	551.44	3e-05	287.58	0.0	0.7148
Hn-decr-C#2-ffpp	01_Horn	Brass	decrescendo	37	mf	0	643.94	0.00299	471.01	0.0	0.5911
Hn-decr-C#3-ffpp	01_Horn	Brass	decrescendo	49	mf	0	1105.99	0.01896	1397.17	0.0	1.9386
Hn-decr-C#4-ffpp	01_Horn	Brass	decrescendo	61	mf	0	982.91	0.00311	1384.15	0.0	1.3912
Hn-decr-C#5-ffpp	01_Horn	Brass	decrescendo	73	mf	0	1217.59	0.00022	1053.84	0.0	0.8617
Hn-decr-C2-ffpp	01_Horn	Brass	decrescendo	36	mf	0	493.69	0.00065	341.39	0.0	0.2256
Hn-decr-C3-ffpp	01_Horn	Brass	decrescendo	48	mf	0	790.59	0.02175	901.74	0.0	1.318
Hn-decr-C4-ffpp	01_Horn	Brass	decrescendo	60	mf	0	692.27	0.00078	668.11	0.0	0.8523
Hn-decr-C5-ffpp	01_Horn	Brass	decrescendo	72	mf	0	579.25	3e-05	283.99	0.0	0.6572
Hn-decr-D#2-ffpp	01_Horn	Brass	decrescendo	39	mf	0	630.01	0.0024	458.12	0.0	0.5326
Hn-decr-D#3-ffpp	01_Horn	Brass	decrescendo	51	mf	0	1066.51	0.01407	1369.9	0.0	1.7391
Hn-decr-D#4-ffpp	01_Horn	Brass	decrescendo	63	mf	0	974.92	0.00222	1385.95	0.0	1.1995
Hn-decr-D2-ffpp	01_Horn	Brass	decrescendo	38	mf	0	649.87	0.00297	480.17	0.0	0.6492
Hn-decr-D3-ffpp	01_Horn	Brass	decrescendo	50	mf	0	1100.3	0.01926	1404.71	0.0	1.8687
Hn-decr-D4-ffpp	01_Horn	Brass	decrescendo	62	mf	0	980.91	0.0032	1384.47	0.0	1.3047
Hn-decr-D5-ffpp	01_Horn	Brass	decrescendo	74	mf	0	896.84	0.00011	781.87	0.0	0.9104
Hn-decr-E2-ffpp	01_Horn	Brass	decrescendo	40	mf	0	624.63	0.00228	444.37	0.0	0.5154
Hn-decr-E3-ffpp	01_Horn	Brass	decrescendo	52	mf	0	1025.67	0.01153	1324.59	0.0	1.65
Hn-decr-E4-ffpp	01_Horn	Brass	decrescendo	64	mf	0	951.6	0.00176	1361.55	0.0	1.115
Hn-decr-F#2-ffpp	01_Horn	Brass	decrescendo	42	mf	0	792.28	0.00761	757.46	0.0	1.1263
Hn-decr-F#3-ffpp	01_Horn	Brass	decrescendo	54	mf	0	1015.28	0.00665	1216.08	0.0	1.4104
Hn-decr-F#4-ffpp	01_Horn	Brass	decrescendo	66	mf	0	857.39	0.0007	1026.12	0.0	1.5038
Hn-decr-F2-ffpp	01_Horn	Brass	decrescendo	41	mf	0	796.77	0.00784	755.67	0.0	1.1193
Hn-decr-F3-ffpp	01_Horn	Brass	decrescendo	53	mf	0	1021.31	0.00693	1215.01	0.0	1.4884
Hn-decr-F4-ffpp	01_Horn	Brass	decrescendo	65	mf	0	878.63	0.00069	1030.79	0.0	1.6462
Hn-decr-G#2-ffpp	01_Horn	Brass	decrescendo	44	mf	0	828.35	0.02888	940.34	0.0	1.5984
Hn-decr-G#3-ffpp	01_Horn	Brass	decrescendo	56	mf	0	735.06	0.00176	729.78	0.0	1.0103
Hn-decr-G#4-ffpp	01_Horn	Brass	decrescendo	68	mf	0	626.22	0.00016	502.69	0.0	0.638
Hn-decr-G2-ffpp	01_Horn	Brass	decrescendo	43	mf	0	776.09	0.00619	745.23	0.0	0.9993
Hn-decr-G3-ffpp	01_Horn	Brass	decrescendo	55	mf	0	1005.0	0.00505	1215.74	0.0	1.3157
Hn-decr-G4-ffpp	01_Horn	Brass	decrescendo	67	mf	0	829.06	0.00048	1002.54	0.0	1.4137
Hn-flatt-A#2-ff	01_Horn	Brass	flatterzunge	46	ff	7	508.29	0.00033	273.78	0.0	1.0216
Hn-flatt-A#2-mf	01_Horn	Brass	flatterzunge	46	mf	5	407.74	6e-05	140.01	0.0	0.9651
Hn-flatt-A#2-pp	01_Horn	Brass	flatterzunge	46	pp	2	362.85	8e-05	145.23	0.0	1.1795
Hn-flatt-A#3-ff	01_Horn	Brass	flatterzunge	58	ff	7	549.4	0.00077	343.23	0.0	1.3247
Hn-flatt-A#3-mf	01_Horn	Brass	flatterzunge	58	mf	5	403.54	4e-05	156.09	0.0	0.944
