id,instrument,family,x,y,pitch,dynamic,spectral_complexity,spectral_center,technique
Acc-cresc-D5-ppff,01_Accordion,Keyboards,-4.340496,6.8344316,74.0,mf,1e-05,794.43,crescendo
Acc-decr-G1-ffpp,01_Accordion,Keyboards,3.2004704,14.208596,31.0,mf,0.00066,685.04,decrescendo
Acc-fortepiano-G#6-fp,01_Accordion,Keyboards,2.8960729,-3.5332172,92.0,mf,9e-05,2987.05,fortepiano
Acc-stacc-A#2-mf,01_Accordion,Keyboards,3.3639925,13.778038,46.0,mf,0.00023,541.7,staccato
Acc-ord-C4-pp,01_Accordion,Keyboards,12.691285,6.699981,60.0,pp,2e-05,573.41,ordinario
Acc-stacc-G#1-mf,01_Accordion,Keyboards,1.9800467,15.255746,32.0,mf,0.00053,473.78,staccato
Acc-stacc-G5-mf,01_Accordion,Keyboards,-2.0848114,4.9452753,79.0,mf,1e-05,853.35,staccato
Acc-ord-C#7-mf,01_Accordion,Keyboards,5.181004,-4.13918,97.0,mf,0.00011,3954.24,ordinario
Acc-cresc-F4-ppff,01_Accordion,Keyboards,-2.2605758,8.744702,65.0,mf,2e-05,671.55,crescendo
Acc-ord-A7-pp,01_Accordion,Keyboards,12.348607,1.6720259,105.0,pp,1e-05,3538.51,ordinario
Acc-cresc-B5-ppff,01_Accordion,Keyboards,-1.2693813,1.7149572,83.0,mf,2e-05,1365.71,crescendo
Acc-cresc-B4-ppff,01_Accordion,Keyboards,-1.1387159,3.9274771,71.0,mf,3e-05,1104.55,crescendo
Acc-register_combination-B1-mf,01_Accordion,Keyboards,3.9653368,13.85736,35.0,mf,0.01432,987.26,combination-of-registers
Acc-cresc-E3-ppff,01_Accordion,Keyboards,0.62165743,8.900808,52.0,mf,0.00031,763.27,crescendo
Acc-fortepiano-F1-fp,01_Accordion,Keyboards,0.6077751,19.376328,29.0,mf,0.00274,541.07,fortepiano
Acc-backwards-F#7-ppff,01_Accordion,Keyboards,5.935042,-4.282798,102.0,mf,0.02332,4384.6,backwards
Acc-stacc-C7-mf,01_Accordion,Keyboards,1.7281647,-2.9003608,96.0,mf,0.00076,2169.18,staccato
Acc-ord-C#5-ff,01_Accordion,Keyboards,-2.623353,-2.410065,73.0,ff,5e-05,1529.81,ordinario
Acc-register_combination-E1-mf,01_Accordion,Keyboards,3.8858435,13.907087,28.0,mf,0.00185,1085.05,combination-of-registers
Acc-ord-E1-pp,01_Accordion,Keyboards,12.166111,9.282648,28.0,pp,0.00028,612.83,ordinario
Acc-decr-G2-ffpp,01_Accordion,Keyboards,3.3342834,13.719486,43.0,mf,4e-05,691.2,decrescendo
Acc-stacc-E2-mf,01_Accordion,Keyboards,2.2333562,14.642467,40.0,mf,0.00028,486.1,staccato
Acc-fortepiano-D#4-fp,01_Accordion,Keyboards,-0.21078052,7.2863255,63.0,mf,0.00059,862.83,fortepiano
Acc-fortepiano-F4-fp,01_Accordion,Keyboards,-0.048942976,6.8064065,65.0,mf,0.00026,776.21,fortepiano
Acc-backwards-A5-ppff,01_Accordion,Keyboards,-1.5805191,4.4346056,81.0,mf,4e-05,975.11,backwards
Acc-register_combination_double-G3-mf,01_Accordion,Keyboards,2.487531,10.859876,55.0,mf,0.00015,798.86,combination-of-registers-dbl
Acc-ord-B2-ff,01_Accordion,Keyboards,-7.394689,0.8137791,47.0,ff,0.00032,612.97,ordinario
Acc-register_combination_double-E5-mf,01_Accordion,Keyboards,-1.0310758,6.19545,76.0,mf,0.0,759.67,combination-of-registers-dbl
Acc-ord-C#5-mf,01_Accordion,Keyboards,-0.6699436,6.3313804,73.0,mf,0.0,779.61,ordinario
Acc-register_combination_double-F2-mf,01_Accordion,Keyboards,3.6912873,13.834112,41.0,mf,0.00209,992.44,combination-of-registers-dbl
Acc-stacc-F2-mf,01_Accordion,Keyboards,1.9816964,14.499127,41.0,mf,0.00025,480.03,staccato
Acc-register_combination_double-C#4-mf,01_Accordion,Keyboards,2.5371933,10.135382,61.0,mf,3e-05,853.19,combination-of-registers-dbl
Acc-cresc_to_decr-D4-ppmfpp,01_Accordion,Keyboards,-1.9920189,8.53701,62.0,mf,3e-05,650.05,crescendo-to-decrescendo
Acc-backwards-G#5-ppff,01_Accordion,Keyboards,-2.0907838,4.390442,80.0,mf,0.00012,965.21,backwards
Acc-cresc_to_decr-F7-ppmfpp,01_Accordion,Keyboards,2.624563,-3.6714773,101.0,mf,2e-05,2829.3,crescendo-to-decrescendo
Acc-register_combination-G6-mf,01_Accordion,Keyboards,3.3345923,-2.3284647,91.0,mf,2e-05,2420.98,combination-of-registers
Acc-decr-C#2-ffpp,01_Accordion,Keyboards,2.884626,14.19896,37.0,mf,0.00015,674.82,decrescendo
Acc-register_combination-A3-mf,01_Accordion,Keyboards,2.5072548,10.771673,57.0,mf,1e-05,795.7,combination-of-registers
Acc-ord-A4-ff,01_Accordion,Keyboards,-5.8214555,-0.712411,69.0,ff,0.0,959.21,ordinario
Acc-fortepiano-D7-fp,01_Accordion,Keyboards,2.5718277,-3.6150086,98.0,mf,2e-05,2678.84,fortepiano
Acc-ord-F7-ff,01_Accordion,Keyboards,5.2628856,-4.7437706,101.0,ff,0.00042,4106.97,ordinario
Acc-cresc-F#7-ppff,01_Accordion,Keyboards,2.8052537,-3.6281903,102.0,mf,0.01182,3194.32,crescendo
Acc-ord-G#5-ff,01_Accordion,Keyboards,-2.6278071,-2.41685,80.0,ff,4e-05,1539.88,ordinario
Acc-cresc-C3-ppff,01_Accordion,Keyboards,1.8581238,12.952548,48.0,mf,0.0003,569.71,crescendo
Acc-register_combination-A#3-mf,01_Accordion,Keyboards,1.4854903,6.902557,58.0,mf,3e-05,1146.0,combination-of-registers
Acc-ord-D#2-mf,01_Accordion,Keyboards,3.5900555,14.145511,39.0,mf,0.0009,577.32,ordinario
Acc-cresc_to_decr-C#3-ppmfpp,01_Accordion,Keyboards,-0.033577394,8.828269,49.0,mf,0.00022,951.14,crescendo-to-decrescendo
Acc-backwards-G6-ppff,01_Accordion,Keyboards,-1.0312529,0.27285877,91.0,mf,0.01156,1623.86,backwards
Acc-cresc-F#1-ppff,01_Accordion,Keyboards,1.0082489,14.990417,30.0,mf,0.00054,619.47,crescendo
Acc-fortepiano-D#2-fp,01_Accordion,Keyboards,0.59544647,14.783269,39.0,mf,0.00175,633.73,fortepiano
Acc-ord-D4-mf,01_Accordion,Keyboards,1.8533976,9.723537,62.0,mf,1e-05,782.62,ordinario
Acc-backwards-G#3-ppff,01_Accordion,Keyboards,1.7315098,11.127834,56.0,mf,0.00013,720.7,backwards
Acc-ord-E6-ff,01_Accordion,Keyboards,0.9377761,-3.4046483,88.0,ff,3e-05,2539.87,ordinario
Acc-ord-G#4-mf,01_Accordion,Keyboards,2.0174596,9.423803,68.0,mf,1e-05,796.1,ordinario
Acc-cresc_to_decr-E3-ppmfpp,01_Accordion,Keyboards,0.037595306,8.626764,52.0,mf,0.00011,915.72,crescendo-to-decrescendo
Acc-register_combination-F#4-mf,01_Accordion,Keyboards,2.4873438,10.080162,66.0,mf,3e-05,641.91,combination-of-registers
Acc-ord-G6-mf,01_Accordion,Keyboards,2.7320948,-0.23547941,91.0,mf,3e-05,1843.0,ordinario
Acc-backwards-F#2-ppff,01_Accordion,Keyboards,2.0717604,13.955209,42.0,mf,0.00075,700.34,backwards
Acc-fortepiano-B3-fp,01_Accordion,Keyboards,0.6570228,5.3746705,59.0,mf,0.0023,1208.13,fortepiano
Acc-ord-E7-ff,01_Accordion,Keyboards,5.2622795,-4.7558494,100.0,ff,3e-05,4233.38,ordinario
Acc-ord-E7-p,01_Accordion,Keyboards,12.472259,1.8780398,100.0,p,4e-05,2951.67,ordinario
Acc-cresc-D#4-ppff,01_Accordion,Keyboards,-1.0472252,9.498076,63.0,mf,2e-05,720.66,crescendo
Acc-register_combination_double-D3-mf,01_Accordion,Keyboards,2.6448135,10.734833,50.0,mf,0.00022,895.06,combination-of-registers-dbl
Acc-stacc-F#6-mf,01_Accordion,Keyboards,-0.866918,0.044947717,90.0,mf,0.00146,1740.97,staccato
Acc-backwards-A2-ppff,01_Accordion,Keyboards,1.8853724,13.698608,45.0,mf,0.00043,671.48,backwards
Acc-cresc-A#2-ppff,01_Accordion,Keyboards,1.7291692,13.698282,46.0,mf,0.00038,551.59,crescendo
Acc-cresc_to_decr-A#5-ppmfpp,01_Accordion,Keyboards,-2.1240487,2.6223192,82.0,mf,2e-05,1065.17,crescendo-to-decrescendo
Acc-backwards-C#7-ppff,01_Accordion,Keyboards,2.2153094,-2.971426,97.0,mf,0.00994,2524.5,backwards
Acc-fortepiano-C#3-fp,01_Accordion,Keyboards,0.6625487,8.7867,49.0,mf,0.00584,849.71,fortepiano
Acc-register_combination-D#4-mf,01_Accordion,Keyboards,2.042729,9.858516,63.0,mf,2e-05,643.81,combination-of-registers
Acc-stacc-G4-mf,01_Accordion,Keyboards,-1.2915922,10.809575,67.0,mf,1e-05,470.61,staccato
Acc-fortepiano-G#3-fp,01_Accordion,Keyboards,0.71915936,8.507564,56.0,mf,0.00055,743.96,fortepiano
Acc-cresc-G#2-ppff,01_Accordion,Keyboards,1.901541,13.840958,44.0,mf,0.00062,716.41,crescendo
Acc-register_combination_double-G4-mf,01_Accordion,Keyboards,2.1839075,9.746849,67.0,mf,1e-05,558.15,combination-of-registers-dbl
Acc-stacc-A2-mf,01_Accordion,Keyboards,3.3771439,13.834643,45.0,mf,0.00023,538.19,staccato
Acc-backwards-A#3-ppff,01_Accordion,Keyboards,0.7003251,8.739336,58.0,mf,9e-05,736.15,backwards
Acc-cresc-C#4-ppff,01_Accordion,Keyboards,0.07951211,7.687064,61.0,mf,2e-05,771.54,crescendo
Acc-fortepiano-C#2-fp,01_Accordion,Keyboards,0.66151506,14.82609,37.0,mf,0.00197,622.84,fortepiano
Acc-ord-F#2-pp,01_Accordion,Keyboards,12.260694,9.0085945,42.0,pp,7e-05,698.15,ordinario
Acc-ord-E7-pp,01_Accordion,Keyboards,12.505042,1.9269142,100.0,pp,0.0,2854.88,ordinario
Acc-stacc-C#7-mf,01_Accordion,Keyboards,1.2088035,-2.9161737,97.0,mf,1e-05,2246.05,staccato
Acc-stacc-E3-mf,01_Accordion,Keyboards,1.3242326,12.621912,52.0,mf,0.00019,678.02,staccato
Acc-stacc-A#1-mf,01_Accordion,Keyboards,0.5926677,18.977076,34.0,mf,0.00032,358.73,staccato
Acc-fortepiano-E6-fp,01_Accordion,Keyboards,2.326982,-2.9295065,88.0,mf,0.00326,2558.76,fortepiano
Acc-ord-F#4-mf,01_Accordion,Keyboards,-6.891327,10.833825,66.0,mf,0.0,443.42,ordinario
Acc-register_combination-A1-mf,01_Accordion,Keyboards,3.8658795,13.900535,33.0,mf,0.00053,774.01,combination-of-registers
Acc-ord-C#8-mf,01_Accordion,Keyboards,5.3112206,-4.527188,109.0,mf,0.0,4477.38,ordinario
Acc-fortepiano-G3-fp,01_Accordion,Keyboards,0.7534656,8.535599,55.0,mf,0.00062,751.17,fortepiano
Acc-ord-B2-pp,01_Accordion,Keyboards,12.355181,8.793876,47.0,pp,8e-05,544.89,ordinario
Acc-ord-G3-mf,01_Accordion,Keyboards,2.4654222,10.887454,55.0,mf,2e-05,704.48,ordinario
Acc-register_combination-G2-mf,01_Accordion,Keyboards,3.5851402,13.826082,43.0,mf,0.00025,775.28,combination-of-registers
Acc-cresc-C#7-ppff,01_Accordion,Keyboards,1.8262299,-2.922523,97.0,mf,0.0,2237.91,crescendo
Acc-backwards-F2-ppff,01_Accordion,Keyboards,2.1014054,13.988099,41.0,mf,0.00067,693.67,backwards
Acc-stacc-D#6-mf,01_Accordion,Keyboards,-1.3418032,0.46226126,87.0,mf,0.00202,1611.67,staccato
Acc-decr-E2-ffpp,01_Accordion,Keyboards,3.4546163,13.824952,40.0,mf,0.00013,703.62,decrescendo
Acc-ord-C5-ff,01_Accordion,Keyboards,-0.018859318,-2.6148078,72.0,ff,6e-05,1939.22,ordinario
Acc-decr-A#1-ffpp,01_Accordion,Keyboards,2.9660556,14.239325,34.0,mf,0.0002,651.59,decrescendo
Acc-cresc_to_decr-C3-ppmfpp,01_Accordion,Keyboards,1.3732764,13.265541,48.0,mf,6e-05,620.07,crescendo-to-decrescendo
Acc-stacc-D#2-mf,01_Accordion,Keyboards,2.1287649,14.77946,39.0,mf,0.00027,480.53,staccato
Acc-backwards-F7-ppff,01_Accordion,Keyboards,2.8201106,-2.3317568,101.0,mf,0.04822,2554.96,backwards
Acc-ord-D#4-pp,01_Accordion,Keyboards,12.641573,7.0658417,63.0,pp,0.0,437.39,ordinario
Acc-decr-A1-ffpp,01_Accordion,Keyboards,3.2426236,14.157271,33.0,mf,0.0002,661.03,decrescendo
Acc-cresc_to_decr-C#7-ppmfpp,01_Accordion,Keyboards,1.8062919,-2.9274857,97.0,mf,0.00074,2231.13,crescendo-to-decrescendo
Acc-cresc-D2-ppff,01_Accordion,Keyboards,2.1820247,14.105082,38.0,mf,0.0002,677.06,crescendo
Acc-cresc_to_decr-G3-ppmfpp,01_Accordion,Keyboards,0.18620926,8.640289,55.0,mf,3e-05,751.0,crescendo-to-decrescendo
Acc-ord-C5-mf,01_Accordion,Keyboards,-1.0761509,6.374715,72.0,mf,0.0,696.28,ordinario
Acc-cresc_to_decr-D#7-ppmfpp,01_Accordion,Keyboards,1.7783029,-2.9161923,99.0,mf,0.00131,2204.69,crescendo-to-decrescendo
Acc-stacc-C5-mf,01_Accordion,Keyboards,-1.5272425,5.5468125,72.0,mf,3e-05,954.33,staccato
Acc-register_combination-C#3-mf,01_Accordion,Keyboards,2.5104516,10.937886,49.0,mf,6e-05,776.3,combination-of-registers
Acc-ord-F#1-mf,01_Accordion,Keyboards,3.610428,14.114158,30.0,mf,0.00061,738.59,ordinario
Acc-cresc-D6-ppff,01_Accordion,Keyboards,2.2244825,-2.7952182,86.0,mf,0.00034,2360.69,crescendo
Acc-register_combination_double-C2-mf,01_Accordion,Keyboards,3.8548174,13.915793,36.0,mf,0.00108,692.9,combination-of-registers-dbl
Acc-backwards-G3-ppff,01_Accordion,Keyboards,1.9415941,11.53157,55.0,mf,9e-05,549.36,backwards
Acc-cresc-G#3-ppff,01_Accordion,Keyboards,1.87186,11.442958,56.0,mf,5e-05,513.32,crescendo
Acc-register_combination-G#5-mf,01_Accordion,Keyboards,1.2734541,2.809107,80.0,mf,1e-05,1276.44,combination-of-registers
Acc-backwards-E4-ppff,01_Accordion,Keyboards,-0.59990907,10.098573,64.0,mf,8e-05,699.7,backwards
Acc-backwards-G4-ppff,01_Accordion,Keyboards,-1.7277242,10.309756,67.0,mf,4e-05,553.04,backwards
Acc-cresc-G1-ppff,01_Accordion,Keyboards,1.0039829,14.990744,31.0,mf,0.00052,626.43,crescendo
Acc-ord-G2-ff,01_Accordion,Keyboards,-7.46808,0.86639,43.0,ff,0.00014,684.94,ordinario
Acc-cresc_to_decr-B4-ppmfpp,01_Accordion,Keyboards,-0.9173208,4.7232294,71.0,mf,0.0,1104.97,crescendo-to-decrescendo
Acc-ord-F5-ff,01_Accordion,Keyboards,0.2128588,-2.9713514,77.0,ff,3e-05,2124.79,ordinario
Acc-register_combination-G4-mf,01_Accordion,Keyboards,2.0443118,9.56493,67.0,mf,1e-05,719.54,combination-of-registers
Acc-fortepiano-F#2-fp,01_Accordion,Keyboards,0.5001226,14.662165,42.0,mf,0.00399,605.82,fortepiano
Acc-register_combination_double-D#4-mf,01_Accordion,Keyboards,1.8912199,9.707757,63.0,mf,1e-05,834.2,combination-of-registers-dbl
Acc-register_combination_double-D#3-mf,01_Accordion,Keyboards,2.6640253,10.673899,51.0,mf,0.00064,954.42,combination-of-registers-dbl
Acc-backwards-C6-ppff,01_Accordion,Keyboards,-0.89020747,2.1164904,84.0,mf,6e-05,1255.41,backwards
Acc-fortepiano-B1-fp,01_Accordion,Keyboards,0.8228377,14.909871,35.0,mf,0.00131,596.32,fortepiano
Acc-stacc-C#4-mf,01_Accordion,Keyboards,0.7100928,5.7741723,61.0,mf,0.00016,1131.58,staccato
Acc-ord-B4-mf,01_Accordion,Keyboards,2.6426296,2.2915204,71.0,mf,1e-05,1380.01,ordinario
Acc-cresc_to_decr-C#5-ppmfpp,01_Accordion,Keyboards,-0.25923905,3.2929885,73.0,mf,1e-05,1274.2,crescendo-to-decrescendo
Acc-register_combination-G5-mf,01_Accordion,Keyboards,1.1469871,2.883626,79.0,mf,0.0,1149.3,combination-of-registers
Acc-ord-D7-ff,01_Accordion,Keyboards,0.96551263,-3.397557,98.0,ff,1e-05,2585.1,ordinario
Acc-ord-B3-mf,01_Accordion,Keyboards,2.6117952,2.7515543,59.0,mf,0.00031,1359.77,ordinario
Acc-cresc_to_decr-F#1-ppmfpp,01_Accordion,Keyboards,2.981261,14.3603525,30.0,mf,0.00121,588.85,crescendo-to-decrescendo
Acc-ord-A#2-mf,01_Accordion,Keyboards,1.2717593,7.2795353,46.0,mf,0.00045,1185.21,ordinario
Acc-backwards-A1-ppff,01_Accordion,Keyboards,1.0023642,14.978256,33.0,mf,0.00124,656.74,backwards
Acc-ord-E4-ff,01_Accordion,Keyboards,-6.302488,-0.18393107,64.0,ff,2e-05,786.47,ordinario
Acc-decr-F#2-ffpp,01_Accordion,Keyboards,3.4682012,13.813222,42.0,mf,5e-05,686.92,decrescendo
Acc-bellowshake-E2-f,01_Accordion,Keyboards,3.5778725,14.186382,40.0,f,0.00122,523.27,bellowshake
Acc-decr-C3-ffpp,01_Accordion,Keyboards,1.8659894,12.799365,48.0,mf,2e-05,606.58,decrescendo
Acc-ord-E4-mf,01_Accordion,Keyboards,1.9873546,9.842902,64.0,mf,1e-05,659.67,ordinario
Acc-register_combination_double-A3-mf,01_Accordion,Keyboards,2.6183395,10.45579,57.0,mf,0.00019,854.63,combination-of-registers-dbl
Acc-fortepiano-A3-fp,01_Accordion,Keyboards,0.6349364,8.465784,57.0,mf,0.0004,738.08,fortepiano
Acc-cresc_to_decr-C#4-ppmfpp,01_Accordion,Keyboards,-1.799189,8.552602,61.0,mf,3e-05,655.04,crescendo-to-decrescendo
Acc-register_combination-G1-mf,01_Accordion,Keyboards,3.9199717,13.867122,31.0,mf,0.00241,933.77,combination-of-registers
Acc-stacc-A#4-mf,01_Accordion,Keyboards,-0.31408823,4.1001716,70.0,mf,4e-05,1168.88,staccato
Acc-fortepiano-E2-fp,01_Accordion,Keyboards,0.56137186,14.730616,40.0,mf,0.00437,611.92,fortepiano
Acc-stacc-C6-mf,01_Accordion,Keyboards,2.0742004,-2.5588357,84.0,mf,0.00031,2254.09,staccato
Acc-fortepiano-D#3-fp,01_Accordion,Keyboards,0.51812464,8.819592,51.0,mf,0.00463,831.5,fortepiano
Acc-backwards-D7-ppff,01_Accordion,Keyboards,-0.89448357,0.16637981,98.0,mf,0.02928,1916.05,backwards
Acc-stacc-G1-mf,01_Accordion,Keyboards,2.0137484,15.278464,31.0,mf,0.0006,476.76,staccato
Acc-register_combination-D6-mf,01_Accordion,Keyboards,3.3539512,-2.4098704,86.0,mf,1e-05,2458.99,combination-of-registers
Acc-ord-B1-pp,01_Accordion,Keyboards,12.217278,9.141572,35.0,pp,0.0004,628.15,ordinario
Acc-backwards-F3-ppff,01_Accordion,Keyboards,2.1217775,11.407049,53.0,mf,0.00012,551.74,backwards
Acc-cresc_to_decr-F#5-ppmfpp,01_Accordion,Keyboards,-1.5747484,3.443646,78.0,mf,1e-05,1074.21,crescendo-to-decrescendo
Acc-ord-G6-ff,01_Accordion,Keyboards,0.96909267,-3.4305987,91.0,ff,8e-05,2642.6,ordinario
Acc-stacc-F3-mf,01_Accordion,Keyboards,1.2324227,12.622884,53.0,mf,0.00014,686.88,staccato
Acc-ord-D4-ff,01_Accordion,Keyboards,-2.8042462,-1.9477065,62.0,ff,0.00024,1151.31,ordinario
Acc-stacc-F5-mf,01_Accordion,Keyboards,-2.7757556,5.6885047,77.0,mf,1e-05,741.4,staccato
Acc-backwards-C2-ppff,01_Accordion,Keyboards,2.2161846,14.142058,36.0,mf,0.00026,666.64,backwards
Acc-ord-A3-ff,01_Accordion,Keyboards,-6.462738,-0.13795272,57.0,ff,2e-05,775.03,ordinario
Acc-cresc-F#4-ppff,01_Accordion,Keyboards,-1.0733619,9.637945,66.0,mf,1e-05,659.86,crescendo
Acc-stacc-D#5-mf,01_Accordion,Keyboards,-2.8532207,7.103646,75.0,mf,1e-05,651.53,staccato
Acc-decr-C2-ffpp,01_Accordion,Keyboards,3.3301115,14.100125,36.0,mf,0.00016,688.48,decrescendo
Acc-cresc_to_decr-F3-ppmfpp,01_Accordion,Keyboards,0.012621462,8.635603,53.0,mf,0.00011,898.56,crescendo-to-decrescendo
